Year,Price,Dividend,Earnings,CPI,Rate10Y,CAPE,RealDiv,RealEarn,RealPrice,Payout,DivYield,EarnYield,PE,DivGrowth,EarnGrowth,Era
1904,7.049166666666667,0.3283333333333333,0.5083333333333333,8.279166666666667,3.436666666666667,16.29,12.1475,18.805,260.56583333333333,0.6459016393442623,0.046577609646530314,0.07211254285376521,13.867213114754101,-0.03667481662591687,-0.11722141823444288,1901-1929  Pre-Crash
1905,8.985833333333334,0.32083333333333336,0.5875,8.3575,3.4575,19.3125,11.754166666666668,21.526666666666667,329.18416666666667,0.5460992907801419,0.03570434943893165,0.06538069182973198,15.295035460992908,-0.02284263959390853,0.15573770491803285,1901-1929  Pre-Crash
1906,9.621666666666668,0.36791666666666667,0.71875,8.570833333333335,3.5399999999999996,18.719166666666666,13.135,25.6675,343.6891666666667,0.5118840579710145,0.038238350944049884,0.0747011952191235,13.386666666666668,0.14675324675324664,0.22340425531914887,1901-1929  Pre-Crash
1907,7.84,0.42166666666666663,0.7058333333333334,9.069166666666666,3.7616666666666667,13.409166666666666,14.235,23.833333333333332,264.78833333333336,0.5974025974025973,0.053784013605442174,0.09002976190476192,11.107438016528924,0.14609286523216292,-0.017971014492753512,1901-1929  Pre-Crash
1908,7.775833333333334,0.4183333333333333,0.6166666666666667,8.736666666666666,3.8191666666666664,13.137500000000001,14.665833333333333,21.622500000000002,272.1141666666667,0.6783783783783782,0.053799164076733456,0.07930554067088201,12.60945945945946,-0.007905138339921014,-0.12632821723730825,1901-1929  Pre-Crash
1909,9.7125,0.42166666666666663,0.6775000000000001,9.435,3.8275,14.858333333333334,13.685,21.95,314.9483333333333,0.6223862238622385,0.04341484341484341,0.06975546975546976,14.335793357933579,0.007968127490039834,0.09864864864864886,1901-1929  Pre-Crash
1910,9.351666666666667,0.45625000000000004,0.74375,9.770000000000001,3.9425000000000003,13.549999999999999,14.32,23.324166666666667,293.195,0.6134453781512605,0.048788094813758696,0.07953127784708608,12.573669467787115,0.08201581027667992,0.0977859778597785,1901-1929  Pre-Crash
1911,9.235,0.47,0.6541666666666667,9.005833333333333,3.9933333333333336,14.248333333333333,15.981666666666667,22.251666666666665,314.16583333333335,0.7184713375796178,0.05089334055224689,0.07083558924381882,14.117197452229298,0.030136986301369628,-0.1204481792717087,1901-1929  Pre-Crash
1912,9.535,0.47541666666666665,0.6495833333333333,9.6,4.211666666666667,13.734166666666667,15.165,20.7025,303.9825,0.731879409878127,0.04986016430693935,0.06812620171298724,14.678640153944837,0.01152482269503552,-0.007006369426751702,1901-1929  Pre-Crash
1913,8.5075,0.48,0.6620833333333334,9.883333333333335,4.316666666666666,11.945,14.866666666666667,20.515833333333333,263.62916666666666,0.724984266834487,0.05642080517190714,0.07782348907826428,12.849590937696664,0.009640666082383786,0.019243104554201418,1901-1929  Pre-Crash
1914,7.945,0.4475,0.5704166666666667,10.016666666666667,4.196666666666666,11.054166666666667,13.684166666666668,17.444166666666668,242.96416666666667,0.7845142439737034,0.05632473253618628,0.07179567862387246,13.928414901387875,-0.06770833333333326,-0.13845185651353054,1901-1929  Pre-Crash
1915,8.305,0.4254166666666667,0.715,10.108333333333333,4.1525,11.4975,12.884166666666667,21.628333333333334,251.345,0.5949883449883451,0.05122416215131448,0.08609271523178808,11.615384615384615,-0.04934823091247664,0.25346968590211816,1901-1929  Pre-Crash
1916,9.466666666666667,0.5004166666666666,1.2321250000000001,10.883333333333333,4.131666666666667,11.998333333333333,14.0575,34.51916666666667,266.31916666666666,0.40614115180413235,0.05286091549295774,0.13015404929577465,7.683203138209731,0.1762977473065619,0.7232517482517484,1901-1929  Pre-Crash
1917,8.495,0.6304166666666666,1.3946666666666667,12.825000000000001,4.386666666666667,8.781666666666666,15.041666666666666,33.4525,204.13,0.4520195984703632,0.07421031979595841,0.16417500490484602,6.09106118546845,0.25978351373855113,0.13191978627709577,1901-1929  Pre-Crash
1918,7.539166666666667,0.625,1.123,15.041666666666666,4.538333333333333,6.44,12.804166666666667,23.03,153.67583333333334,0.5565449688334817,0.08290040897535095,0.14895545484691058,6.713416444048679,-0.008592200925313875,-0.1947896749521989,1901-1929  Pre-Crash
1919,8.7825,0.5483333333333333,0.9575,17.333333333333332,4.715,6.543333333333333,9.714166666666666,16.962500000000002,155.13583333333332,0.5726718885987816,0.062434766106841254,0.10902362653003131,9.172323759791123,-0.1226666666666667,-0.147373107747106,1901-1929  Pre-Crash
1920,7.9775,0.5191666666666667,0.8595833333333333,20.041666666666668,5.0249999999999995,5.3116666666666665,7.935833333333334,13.139166666666666,121.9375,0.603974793989336,0.06507886764859501,0.10775096625927086,9.28065923412506,-0.05319148936170215,-0.10226283724978247,1901-1929  Pre-Crash
1921,6.857500000000001,0.48291666666666666,0.52375,17.849999999999998,4.728333333333333,5.406666666666666,8.2825,8.928333333333333,117.66083333333334,0.9220365950676213,0.07042167942641875,0.07637623040466641,13.093078758949881,-0.0698234349919743,-0.39069316529326215,1901-1929  Pre-Crash
1922,8.410833333333334,0.4870833333333333,0.5066666666666667,16.75,4.325833333333333,7.5225,8.9025,9.264166666666666,153.76,0.9613486842105262,0.05791142375904091,0.06023977013771921,16.60032894736842,0.008628127696289845,-0.032617342879872724,1901-1929  Pre-Crash
1923,8.573333333333332,0.5208333333333334,0.8470833333333333,17.05,4.220833333333333,7.8625,9.350833333333332,15.193333333333333,154.03333333333333,0.6148548942449582,0.06075038880248835,0.09880443234836704,10.121003443187407,0.06928999144568015,0.6718749999999998,1901-1929  Pre-Crash
1924,9.045833333333333,0.5408333333333334,0.9529166666666667,17.125,3.9683333333333333,8.371666666666668,9.6675,17.035833333333333,161.67916666666667,0.5675557498906865,0.059788116075541235,0.10534315983417782,9.4927853082641,0.03839999999999999,0.1249385145105757,1901-1929  Pre-Crash
1925,11.15,0.5770833333333333,1.1033333333333333,17.541666666666668,3.779166666666667,10.103333333333333,10.07,19.2375,194.45583333333332,0.523036253776435,0.05175635276532137,0.09895366218236172,10.105740181268883,0.06702619414483801,0.15784871010056833,1901-1929  Pre-Crash
1926,12.586666666666666,0.64875,1.2445833333333334,17.7,3.5241666666666664,11.7275,11.223333333333334,21.526666666666667,217.76833333333335,0.5212587880816874,0.05154263771186441,0.09888109110169492,10.113157013726147,0.12418772563176916,0.12802114803625386,1901-1929  Pre-Crash
1927,15.343333333333334,0.7333333333333334,1.1696666666666666,17.358333333333334,3.3349999999999995,15.856666666666667,12.935,20.629166666666666,270.65916666666664,0.6269592476489029,0.04779491635889638,0.0762328915924397,13.117697349672271,0.13037893384714194,-0.060194174757281615,1901-1929  Pre-Crash
1928,19.953333333333333,0.8133333333333334,1.2561666666666667,17.158333333333335,3.454166666666667,21.78833333333333,14.510833333333332,22.412499999999998,355.9816666666666,0.6474724691521826,0.040761777480788505,0.06295522886735716,15.884304099774447,0.10909090909090913,0.07395269307495012,1901-1929  Pre-Crash
1929,26.01833333333333,0.915,1.5045833333333334,17.158333333333335,3.4583333333333335,27.60083333333333,16.3225,26.838333333333335,464.1066666666666,0.6081417889781224,0.03516751008903978,0.05782781372109411,17.29271669897535,0.125,0.1977577285392067,1901-1929  Pre-Crash
1930,21.026666666666667,0.9754166666666667,1.2633333333333334,16.7,3.313333333333333,21.479166666666668,17.888333333333332,23.110833333333332,384.7425,0.7720976253298153,0.046389505389980976,0.06008243500317058,16.643799472295512,0.0660291438979963,-0.16034339518139018,1930-1945  Depression & War
1931,13.659166666666666,0.8933333333333334,0.775,15.208333333333334,3.4958333333333336,14.667499999999999,17.97,15.56,273.8233333333333,1.1526881720430109,0.06540174485998415,0.05673845402965042,17.624731182795696,-0.08415207176420325,-0.38654353562005284,1930-1945  Depression & War
1932,6.928333333333334,0.6466666666666666,0.5016666666666667,13.641666666666666,3.5108333333333337,8.07,14.468333333333334,11.2325,155.39583333333334,1.2890365448504981,0.09333654077459705,0.07240798652874669,13.81063122923588,-0.27611940298507476,-0.35268817204301073,1930-1945  Depression & War
1933,8.958333333333334,0.4675,0.42625,12.933333333333332,3.2225,11.096666666666666,11.076666666666666,10.088333333333333,211.53083333333333,1.096774193548387,0.052186046511627907,0.04758139534883721,21.01661779081134,-0.277061855670103,-0.15033222591362128,1930-1945  Depression & War
1934,9.844166666666666,0.4454166666666666,0.46708333333333335,13.383333333333333,2.9683333333333333,12.1975,10.189166666666667,10.6825,225.30499999999998,0.9536128456735057,0.045246762041818336,0.04744772708033523,21.075825156110614,-0.04723707664884147,0.09579667644183765,1930-1945  Depression & War
1935,10.599166666666667,0.4483333333333333,0.7425,13.725,2.7258333333333336,13.1225,10.0,16.5575,236.36166666666668,0.6038159371492704,0.04229892287129491,0.07005267709725607,14.274971941638608,0.00654817586529477,0.5896520963425513,1930-1945  Depression & War
