Date,SP500,Dividend,Earnings,CPI,Rate10Y,RealPrice,RealDiv,RealEarn,CAPE,Year,Payout,DivYield,EarnYield,PE,TRIndex,RealTRIndex
1894-09-01,4.48,0.22,0.185,6.85,3.54,200.2,9.83,8.27,16.52,1894,1.1891891891891893,0.049107142857142856,0.041294642857142856,24.216216216216218,3.6717417308629408,6.678817805336094
1894-10-01,4.34,0.2167,0.1767,6.66,3.52,199.48,9.96,8.12,16.5,1894,1.2263723825693267,0.04993087557603687,0.04071428571428572,24.561403508771928,3.5720255305828084,6.682798515174443
1894-11-01,4.34,0.2133,0.1683,6.66,3.5,199.48,9.8,7.74,16.54,1894,1.267379679144385,0.049147465437788015,0.03877880184331797,25.78728461081402,3.586888394109638,6.710605013604518
1894-12-01,4.3,0.21,0.16,6.57,3.48,200.51,9.79,7.46,16.67,1894,1.3125,0.04883720930232558,0.037209302325581395,26.875,3.5685200543494795,6.7676955673051005
1895-01-01,4.25,0.2083,0.1675,6.57,3.46,198.18,9.71,7.81,16.52,1895,1.2435820895522387,0.04901176470588236,0.039411764705882354,25.37313432835821,3.5415486818456756,6.716544379877796
1895-02-01,4.19,0.2067,0.175,6.57,3.47,195.38,9.64,8.16,16.33,1895,1.1811428571428573,0.04933174224343675,0.04176610978520286,23.942857142857147,3.506015143404491,6.649155051266356
1895-03-01,4.19,0.205,0.1825,6.57,3.48,195.38,9.56,8.51,16.36,1895,1.1232876712328768,0.048926014319809065,0.04355608591885441,22.958904109589042,3.520428296350826,6.676489584860166
1895-04-01,4.37,0.2033,0.19,6.85,3.5,195.28,9.08,8.49,16.39,1895,1.07,0.04652173913043478,0.043478260869565216,23.0,3.6860172565908758,6.704784674032455
1895-05-01,4.61,0.2017,0.1975,6.95,3.51,203.18,8.89,8.7,17.08,1895,1.02126582278481,0.0437527114967462,0.042841648590021694,23.341772151898734,3.9027429813667465,6.996860078824412
1895-06-01,4.7,0.2,0.205,7.04,3.52,204.35,8.7,8.91,17.21,1895,0.9756097560975611,0.0425531914893617,0.04361702127659574,22.926829268292686,3.993164992921659,7.06744826872214
1895-07-01,4.72,0.1983,0.2125,6.95,3.53,208.03,8.74,9.37,17.55,1895,0.9331764705882354,0.04201271186440678,0.045021186440677964,22.211764705882352,4.024317343930267,7.214819295736853
1895-08-01,4.79,0.1967,0.22,6.85,3.54,214.05,8.79,9.83,18.07,1895,0.8940909090909092,0.04106471816283925,0.04592901878914405,21.772727272727273,4.098089390155599,7.4543348615093095
1895-09-01,4.82,0.195,0.2275,6.85,3.55,215.39,8.71,10.17,18.2,1895,0.8571428571428571,0.04045643153526971,0.04719917012448133,21.186813186813186,4.13777982793395,7.526530898694455
1895-10-01,4.75,0.1933,0.235,6.85,3.56,212.26,8.64,10.5,17.94,1895,0.8225531914893618,0.04069473684210526,0.049473684210526316,20.21276595744681,4.091637573628669,7.442599148527478
1895-11-01,4.59,0.1917,0.2425,6.85,3.58,205.11,8.57,10.84,17.34,1895,0.7905154639175258,0.04176470588235295,0.0528322440087146,18.927835051546392,3.967689668393851,7.217140623093049
1895-12-01,4.32,0.19,0.25,6.76,3.59,195.77,8.61,11.33,16.55,1895,0.76,0.04398148148148148,0.057870370370370364,17.28,3.748105274491074,6.908489899431773
1896-01-01,4.27,0.1892,0.2467,6.66,3.6,196.27,8.7,11.34,16.58,1896,0.7669233887312525,0.04430913348946137,0.05777517564402811,17.30847182813133,3.718461694966742,6.956761669562403
1896-02-01,4.45,0.1883,0.2433,6.57,3.58,207.5,8.78,11.35,17.52,1896,0.7739416358405261,0.04231460674157303,0.05467415730337078,18.290176736539255,3.8889419879764193,7.375375520576283
1896-03-01,4.38,0.1875,0.24,6.57,3.57,204.24,8.74,11.19,17.23,1896,0.78125,0.04280821917808219,0.0547945205479452,18.25,3.8414808738647293,7.285365553783032
1896-04-01,4.42,0.1867,0.2367,6.47,3.55,209.14,8.83,11.2,17.64,1896,0.7887621461765949,0.042239819004524885,0.05355203619909502,18.673426277989016,3.890266803912384,7.491920305525241
1896-05-01,4.4,0.1858,0.2333,6.37,3.53,211.3,8.92,11.2,17.83,1896,0.7963994856408058,0.042227272727272724,0.05302272727272727,18.859837119588512,3.886357467173159,7.601886034690355
1896-06-01,4.32,0.185,0.23,6.28,3.52,210.6,9.02,11.21,17.78,1896,0.8043478260869564,0.04282407407407407,0.05324074074074074,18.782608695652176,3.8293722787056317,7.597767291826778
1896-07-01,4.04,0.1842,0.2267,6.28,3.5,196.95,8.98,11.05,16.64,1896,0.8125275694750772,0.04559405940594059,0.056113861386138615,17.820908689898545,3.594838000447715,7.132433357576199
1896-08-01,3.81,0.1833,0.2233,6.28,3.48,185.74,8.94,10.89,15.7,1896,0.8208687863860278,0.04811023622047244,0.058608923884514434,17.062248096730855,3.403839986389274,6.7534786991099285
1896-09-01,4.01,0.1825,0.22,6.28,3.47,195.49,8.9,10.72,16.54,1896,0.8295454545454545,0.04551122194513716,0.054862842892768084,18.227272727272727,3.596165879583486,7.135067971275515
1896-10-01,4.1,0.1817,0.2167,6.47,3.45,193.99,8.6,10.25,16.44,1896,0.838486386709737,0.04431707317073171,0.05285365853658537,18.920166128287953,3.6905166572845287,7.107239188526311
1896-11-01,4.38,0.1808,0.2133,6.66,3.43,201.32,8.31,9.8,17.09,1896,0.8476324425691514,0.041278538812785384,0.0486986301369863,20.534458509142056,3.9561813492582005,7.4015044462097865
1896-12-01,4.22,0.18,0.21,6.66,3.42,193.97,8.27,9.65,16.5,1896,0.8571428571428571,0.04265402843601896,0.04976303317535545,20.095238095238095,3.8252720912172973,7.156590128613742
1897-01-01,4.22,0.18,0.2183,6.47,3.4,199.67,8.52,10.33,17.03,1897,0.8245533669262483,0.04265402843601896,0.05172985781990522,19.331195602382042,3.8388690299301547,7.392937884533189
1897-02-01,4.18,0.18,0.2267,6.47,3.4,197.78,8.52,10.73,16.89,1897,0.7940008822232024,0.0430622009569378,0.05423444976076556,18.4384649316277,3.8161269148239336,7.349140859150883
1897-03-01,4.19,0.18,0.235,6.47,3.39,198.25,8.52,11.12,16.96,1897,0.7659574468085106,0.04295942720763723,0.056085918854415266,17.829787234042556,3.838950640391063,7.393095050892217
1897-04-01,4.06,0.18,0.2433,6.37,3.39,194.97,8.64,11.68,16.7,1897,0.7398273736128237,0.04433497536945813,0.05992610837438424,16.6872174270448,3.733585646681045,7.3030576385629224
1897-05-01,4.08,0.18,0.2517,6.28,3.38,198.9,8.77,12.27,17.05,1897,0.7151370679380215,0.044117647058823525,0.06169117647058823,16.209773539928488,3.765771729842089,7.471578941693061
1897-06-01,4.27,0.18,0.26,6.28,3.38,208.16,8.77,12.67,17.85,1897,0.6923076923076923,0.042154566744730684,0.060889929742388764,16.42307692307692,3.954983299601311,7.846989158126167
1897-07-01,4.46,0.18,0.2683,6.28,3.38,217.42,8.77,13.08,18.65,1897,0.6708907938874394,0.04035874439461883,0.06015695067264574,16.62318300409989,4.1448595470060585,8.223718145811382
1897-08-01,4.75,0.18,0.2767,6.57,3.37,221.49,8.39,12.9,19.01,1897,0.6505240332490061,0.03789473684210526,0.05825263157894737,17.166606432959885,4.428308462216115,8.398283628495097
