Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Payer,CompanyKey,AgeBand,PayerLabel
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,2019,7,2019,True,FOX,<25y,Pays a dividend
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1947,79,1998,True,BEN,75-100y,Pays a dividend
FCX,Freeport-McMoRan,Materials,Copper,1912,114,2011,True,FCX,100-150y,Pays a dividend
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,1989,37,2012,True,GRMN,25-50y,Pays a dividend
IT,Gartner,Information Technology,IT Consulting & Other Services,1979,47,2017,False,IT,25-50y,Does not pay
GE,GE Aerospace,Industrials,Aerospace & Defense,1892,134,1957,True,GE,100-150y,Pays a dividend
GEHC,GE HealthCare,Health Care,Health Care Equipment,1994,32,2023,True,GEHC,25-50y,Pays a dividend
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,2024,2,2024,True,GEV,<25y,Pays a dividend
GEN,Gen Digital,Information Technology,Systems Software,1982,44,2003,True,GEN,25-50y,Pays a dividend
GNRC,Generac,Industrials,Heavy Electrical Equipment,1959,67,2021,False,GNRC,50-75y,Does not pay
GD,General Dynamics,Industrials,Aerospace & Defense,1899,127,1957,True,GD,100-150y,Pays a dividend
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1856,170,1957,True,GIS,150y+,Pays a dividend
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,1908,118,2013,True,GM,100-150y,Pays a dividend
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,1925,101,1973,True,GPC,100-150y,Pays a dividend
GILD,Gilead Sciences,Health Care,Biotechnology,1987,39,2004,True,GILD,25-50y,Pays a dividend
GPN,Global Payments,Financials,Transaction & Payment Processing Services,2000,26,2016,True,GPN,25-50y,Pays a dividend
GL,Globe Life,Financials,Life & Health Insurance,1900,126,1989,True,GL,100-150y,Pays a dividend
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,1997,29,2024,False,GDDY,25-50y,Does not pay
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1869,157,2002,True,GS,150y+,Pays a dividend
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1919,107,1957,True,HAL,100-150y,Pays a dividend
HIG,Hartford (The),Financials,Property & Casualty Insurance,1810,216,1957,True,HIG,150y+,Pays a dividend
HAS,Hasbro,Consumer Discretionary,Leisure Products,1923,103,1984,True,HAS,100-150y,Pays a dividend
HCA,HCA Healthcare,Health Care,Health Care Facilities,1968,58,2015,True,HCA,50-75y,Pays a dividend
DOC,Healthpeak Properties,Real Estate,Health Care REITs,1985,41,2008,True,DOC,25-50y,Pays a dividend
HSIC,Henry Schein,Health Care,Health Care Distributors,1932,94,2015,False,HSIC,75-100y,Does not pay
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,1894,132,1957,True,HSY,100-150y,Pays a dividend
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015,11,2015,True,HPE,<25y,Pays a dividend
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1919,107,2017,True,HLT,100-150y,Pays a dividend
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1978,48,1988,True,HD,25-50y,Pays a dividend
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,1906,120,1957,True,HON,100-150y,Pays a dividend
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,1891,135,2009,True,HRL,100-150y,Pays a dividend
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,1993,33,2007,True,HST,25-50y,Pays a dividend
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1888,138,2016,True,HWM,100-150y,Pays a dividend
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1939,87,1974,True,HPQ,75-100y,Pays a dividend
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,1888,138,2023,True,HUBB,100-150y,Pays a dividend
HUM,Humana,Health Care,Managed Health Care,1961,65,2012,True,HUM,50-75y,Pays a dividend
HBAN,Huntington Bancshares,Financials,Regional Banks,1866,160,1997,True,HBAN,150y+,Pays a dividend
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2011,15,2018,True,HII,<25y,Pays a dividend
IBM,IBM,Information Technology,IT Consulting & Other Services,1911,115,1957,True,IBM,100-150y,Pays a dividend
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,1988,38,2019,True,IEX,25-50y,Pays a dividend
