CompanyKey,SectorKey,AgeBandKey,Price,PE,PB,DivYield,EPS,MarketCapBn,Payer,PayoutRatio,Age,Founded
MPWR,Information Technology,25-50y,1333.810000,95.204140,17.819298,0.006000,14.010000,65.530089,True,0.571225,29,1997
MNST,Consumer Staples,<25y,93.490000,45.164253,10.476244,,2.070000,91.433976,False,,14,2012
MCO,Financials,100-150y,471.500000,29.936508,26.993761,0.008700,15.750000,81.654841,True,0.260448,117,1909
MS,Financials,75-100y,214.480000,17.324717,3.240956,0.021400,12.380000,337.162568,True,0.370749,91,1935
MOS,Materials,<25y,22.300000,159.285700,0.600479,0.039500,0.140000,7.087980,True,6.291786,22,2004
MSI,Information Technology,75-100y,417.830000,33.668816,27.296661,0.011600,12.410000,69.357937,True,0.390558,98,1928
MSCI,Financials,50-75y,550.790000,30.114267,-14.888630,0.014900,18.290000,40.042430,True,0.448703,57,1969
NDAQ,Financials,50-75y,92.090000,26.848394,4.322054,0.012600,3.430000,51.476222,True,0.338290,55,1971
NTAP,Information Technology,25-50y,167.740000,26.374214,24.334833,0.012400,6.360000,32.863609,True,0.327040,34,1992
NFLX,Communication Services,25-50y,70.090000,22.040878,9.679602,,3.180000,291.850519,False,,29,1997
NEM,Materials,100-150y,93.190000,11.751576,2.800180,0.011200,7.930000,98.193588,True,0.131618,105,1921
NWSA,Communication Services,<25y,26.760000,33.873417,1.715275,0.007500,0.790000,14.501441,True,0.254051,13,2013
NWS,Communication Services,<25y,30.190000,38.215190,1.935132,0.006600,0.790000,16.360183,True,0.252220,13,2013
NEE,Utilities,25-50y,89.780000,20.175282,3.390355,0.027800,4.450000,187.245642,True,0.560873,42,1984
NKE,Consumer Discretionary,50-75y,41.700000,19.857143,4.160016,0.039300,2.100000,61.861900,True,0.780386,62,1964
NI,Utilities,100-150y,46.680000,23.223880,2.316855,0.025700,2.010000,22.380225,True,0.596854,114,1912
NDSN,Industrials,75-100y,295.770000,31.565634,5.146332,0.011100,9.370000,16.479697,True,0.350379,91,1935
NSC,Industrials,100-150y,350.660000,29.945347,4.845914,0.015400,11.710000,78.761173,True,0.461158,145,1881
NTRS,Financials,100-150y,180.520000,15.495280,2.760160,0.018200,11.650000,22.173585,True,0.282014,137,1889
NOC,Industrials,25-50y,542.240000,17.241335,4.499917,0.017300,31.450000,77.032251,True,0.298275,32,1994
NCLH,Consumer Discretionary,<25y,19.370000,15.620968,3.657477,,1.240000,8.892964,False,,15,2011
NRG,Utilities,25-50y,141.030000,153.293470,7.103712,0.013500,0.920000,29.755421,True,2.069462,34,1992
NUE,Materials,75-100y,247.560000,24.559525,2.628053,0.009000,10.080000,56.379548,True,0.221036,86,1940
NVDA,Information Technology,25-50y,206.840000,31.626911,25.630732,0.004800,6.540000,5009.871733,True,0.151809,33,1993
NVR,Consumer Discretionary,25-50y,6414.670000,16.666676,5.015340,,384.880000,17.179468,False,,46,1980
NXPI,Information Technology,50-75y,269.240000,256.419040,6.224626,0.015100,1.050000,67.975307,True,3.871928,73,1953
ORLY,Consumer Discretionary,50-75y,87.400000,28.469057,-68.174730,,3.070000,72.429699,False,,69,1957
OXY,Energy,100-150y,57.300000,77.432434,1.853349,0.018200,0.740000,56.992567,True,1.409270,106,1920
ODFL,Industrials,75-100y,232.990000,48.539580,11.022329,0.005000,4.800000,48.454533,True,0.242698,92,1934
OMC,Communication Services,25-50y,79.660000,,2.405775,0.040200,-0.370000,22.703596,True,,40,1986
ON,Information Technology,25-50y,86.810000,63.830880,4.658938,,1.360000,33.785201,False,,27,1999
OKE,Energy,100-150y,93.160000,16.606060,2.625261,0.045900,5.610000,58.693861,True,0.762218,120,1906
ORCL,Information Technology,25-50y,114.990000,19.723843,8.818252,0.017400,5.830000,331.225367,True,0.343195,49,1977
OTIS,Industrials,<25y,71.930000,18.491003,-4.787673,0.024500,3.890000,27.381547,True,0.453030,6,2020
PCAR,Industrials,100-150y,132.240000,28.196163,3.522455,0.010600,4.690000,69.596094,True,0.298879,121,1905
PKG,Materials,50-75y,254.390000,32.994812,4.909866,0.023600,7.710000,22.665806,True,0.778678,67,1959
PLTR,Information Technology,<25y,122.920000,138.112370,34.870922,,0.890000,294.677578,False,,23,2003
PANW,Information Technology,<25y,323.790000,276.743620,9.514280,,1.170000,263.888863,False,,21,2005
PH,Industrials,100-150y,987.540000,36.494457,8.523195,0.008100,27.060000,124.515353,True,0.295605,109,1917
PAYX,Industrials,50-75y,113.550000,23.220860,10.810168,0.041900,4.890000,40.387789,True,0.972954,55,1971
PYPL,Financials,25-50y,56.150000,10.534710,2.501337,0.010000,5.330000,49.530225,True,0.105347,28,1998
PNR,Industrials,50-75y,62.880000,15.798995,2.667006,0.016900,3.980000,10.161756,True,0.267003,60,1966
PEP,Consumer Staples,100-150y,136.640000,17.931759,8.446560,0.043300,7.620000,186.650247,True,0.776445,128,1898
PFE,Health Care,150y+,24.540000,18.732826,1.552182,0.070100,1.310000,139.864359,True,1.313171,177,1849
PCG,Utilities,100-150y,17.850000,12.841727,1.241221,0.011200,1.390000,47.839973,True,0.143827,121,1905
PM,Consumer Staples,<25y,193.000000,212.087900,-32.415184,0.030500,0.910000,300.801851,True,6.468681,18,2008
PSX,Energy,<25y,206.770000,20.452028,2.905950,0.024600,10.110000,82.901336,True,0.503120,14,2012
PNW,Utilities,25-50y,106.060000,19.787312,1.818431,0.034300,5.360000,12.853111,True,0.678705,41,1985
PNC,Financials,150y+,250.990000,13.813429,1.747379,0.031900,18.170000,100.145013,True,0.440648,181,1845
PPG,Materials,100-150y,116.000000,16.618912,3.190583,0.025500,6.980000,25.856399,True,0.423782,143,1883
PPL,Utilities,100-150y,36.220000,22.220860,1.813993,0.031500,1.630000,27.250131,True,0.699957,106,1920
PFG,Financials,100-150y,109.400000,15.695840,2.004140,0.030000,6.970000,23.631755,True,0.470875,147,1879
PG,Consumer Staples,150y+,147.410000,21.551170,6.386639,0.029500,6.840000,343.258792,True,0.635760,189,1837
PGR,Financials,75-100y,213.830000,10.729052,3.621046,0.065000,19.930000,124.320760,True,0.697388,89,1937
PLD,Real Estate,25-50y,147.630000,32.879734,2.564000,0.029000,4.490000,140.853199,True,0.953512,43,1983
PRU,Financials,150y+,119.960000,12.367010,1.303049,0.046700,9.700000,41.665122,True,0.577539,151,1875
PEG,Utilities,100-150y,79.810000,17.657080,2.297021,0.033600,4.520000,39.771030,True,0.593278,123,1903
PTC,Information Technology,25-50y,118.520000,11.385206,3.546486,,10.410000,13.689746,False,,41,1985
PSA,Real Estate,50-75y,322.480000,167.088090,11.613787,0.037200,1.930000,60.221768,True,6.215677,54,1972
PHM,Consumer Discretionary,50-75y,128.750000,13.151175,1.896059,0.008100,9.790000,24.525117,True,0.106525,70,1956
PWR,Industrials,25-50y,625.840000,86.203860,10.383250,0.000700,7.260000,93.913645,True,0.060343,29,1997
QCOM,Information Technology,25-50y,166.970000,17.953764,6.482258,0.022000,9.300000,175.986377,True,0.394983,41,1985
DGX,Health Care,50-75y,227.860000,24.214666,3.334846,0.015100,9.410000,25.149673,True,0.365641,59,1967
RL,Consumer Discretionary,50-75y,373.580000,24.756792,7.901772,0.010000,15.090000,22.234114,True,0.247568,59,1967
RJF,Financials,50-75y,169.300000,14.773124,2.622204,0.012800,11.460000,32.522531,True,0.189096,64,1962
RTX,Industrials,100-150y,212.790000,37.463028,4.323506,0.013700,5.680000,286.789435,True,0.513243,104,1922
O,Real Estate,50-75y,65.600000,53.770490,1.562574,0.049600,1.220000,61.171511,True,2.667016,57,1969
REG,Real Estate,50-75y,82.150000,28.230240,2.249514,0.036800,2.910000,15.356709,True,1.038873,63,1963
REGN,Health Care,25-50y,656.010000,16.023693,2.127657,0.005700,40.940000,68.775453,True,0.091335,38,1988
RF,Financials,50-75y,30.860000,12.544716,1.513858,0.035500,2.460000,26.335293,True,0.445337,55,1971
RSG,Industrials,25-50y,216.910000,31.165230,5.576666,0.011500,6.960000,66.735419,True,0.358400,28,1998
